% Model,DengLinear.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 9 2020, 21:16"
% Dimension,1
% Nodes,503
% Expressions,1
% Description,
% x,PR/(EhSi*Omega11*j0*RO)*(3*D*(1-nuSi)) @ t=0.032
0,0.04691310224542508
8.230452674897117E-11,0.11485175975511017
1.6460905349794234E-10,0.11485042286373759
2.469135802469135E-10,0.11484812516917244
3.2921810699588467E-10,0.1148449058733309
4.1152263374485583E-10,0.11484076610564932
4.93827160493827E-10,0.11483570610838129
5.761316872427982E-10,0.1148297259450278
6.584362139917693E-10,0.11482282562356964
7.407407407407404E-10,0.11481500512883061
8.230452674897116E-10,0.11480626443327908
9.053497942386826E-10,0.11479660350121537
9.876543209876537E-10,0.1147860222906594
1.069958847736625E-9,0.11477452075422777
1.152263374485596E-9,0.11476209883960517
1.234567901234567E-9,0.11474875648980626
1.316872427983538E-9,0.1147344936433107
1.3991769547325091E-9,0.11471931023416265
1.4814814814814804E-9,0.11470320619201832
1.5637860082304514E-9,0.11468618144221343
1.6460905349794225E-9,0.11466823590575095
1.7283950617283935E-9,0.11464936949929799
1.8106995884773648E-9,0.1146295821352948
1.893004115226336E-9,0.11460887372188931
1.975308641975307E-9,0.11458724416295661
2.057613168724278E-9,0.11456469335811556
2.139917695473249E-9,0.1145412212026918
2.22222222222222E-9,0.11451682758787315
2.304526748971191E-9,0.11449151240050748
2.3868312757201626E-9,0.11446527552321956
2.4691358024691336E-9,0.11443811683448063
2.5514403292181043E-9,0.1144100362084264
2.6337448559670753E-9,0.11438103351511374
2.716049382716046E-9,0.11435110862024742
2.7983539094650166E-9,0.11432026138542292
2.8806584362139877E-9,0.11428849166798757
2.9629629629629583E-9,0.11425579932108486
3.0452674897119293E-9,0.11422218419374817
3.1275720164609E-9,0.11418764613068325
3.209876543209871E-9,0.11415218497257659
3.2921810699588417E-9,0.11411580055581565
3.3744855967078127E-9,0.11407849271276164
3.4567901234567834E-9,0.11404026127144015
3.539094650205754E-9,0.11400110605589411
3.621399176954725E-9,0.11396102688594077
3.7037037037036957E-9,0.1139200235771762
3.786008230452667E-9,0.11387809594131193
3.868312757201638E-9,0.11383524378560955
3.950617283950608E-9,0.11379146691354318
4.032921810699579E-9,0.11374676512421668
4.11522633744855E-9,0.11370113821277725
4.19753086419752E-9,0.11365458597019426
4.279835390946491E-9,0.11360710818345672
4.3621399176954625E-9,0.113558704635394
4.4444444444444335E-9,0.1135093751048113
4.526748971193404E-9,0.11345911936637432
4.609053497942375E-9,0.11340793719081228
4.691358024691346E-9,0.11335582834470777
4.773662551440316E-9,0.1133027925907211
4.855967078189287E-9,0.11324882968745585
4.938271604938258E-9,0.11319393938939554
5.020576131687229E-9,0.11313812144711043
5.1028806584361994E-9,0.11308137560713256
5.1851851851851705E-9,0.11302370161208872
5.2674897119341415E-9,0.11296509920054693
5.349794238683113E-9,0.11290556810710717
5.432098765432083E-9,0.11284510806253233
5.514403292181054E-9,0.11278371879347826
5.596707818930025E-9,0.11272140002270936
5.679012345678995E-9,0.11265815146923538
5.761316872427966E-9,0.11259397284784817
5.843621399176937E-9,0.11252886386963037
5.925925925925908E-9,0.11246282424184523
6.0082304526748785E-9,0.1123958536676767
6.09053497942385E-9,0.1123279518465686
6.172839506172821E-9,0.11225911847408868
6.255144032921791E-9,0.11218935324179907
6.337448559670762E-9,0.11211865583777611
6.419753086419733E-9,0.11204702594601815
6.502057613168704E-9,0.11197446324666024
6.584362139917674E-9,0.11190096741620366
6.666666666666645E-9,0.1118265381272697
6.748971193415616E-9,0.11175117504883415
6.8312757201645866E-9,0.11167487784595
6.913580246913558E-9,0.11159764617998219
6.995884773662529E-9,0.11151947970858761
7.0781893004115E-9,0.11144037808573976
7.16049382716047E-9,0.1113603409615015
7.242798353909441E-9,0.11127936798254048
7.325102880658412E-9,0.1111974587916697
7.407407407407383E-9,0.11111461302793396
7.489711934156354E-9,0.11103083032688758
7.572016460905324E-9,0.11094611032050031
7.654320987654295E-9,0.11086045263690358
7.736625514403266E-9,0.11077385690078129
7.818930041152237E-9,0.11068632273333262
7.901234567901208E-9,0.11059784975179071
7.983539094650179E-9,0.11050843757014663
8.06584362139915E-9,0.11041808579865817
8.148148148148121E-9,0.11032679404414183
8.23045267489709E-9,0.11023456190980796
8.312757201646061E-9,0.11014138899553352
8.395061728395032E-9,0.11004727489759777
8.477366255144003E-9,0.10995221920871726
8.559670781892975E-9,0.10985622151831667
8.641975308641946E-9,0.10975928141223151
8.724279835390917E-9,0.10966139847277942
8.806584362139886E-9,0.10956257227923552
8.888888888888857E-9,0.10946280240715245
8.971193415637828E-9,0.10936208842870918
9.0534979423868E-9,0.10926042991275399
9.13580246913577E-9,0.10915782642509417
9.218106995884741E-9,0.10905427752762438
9.300411522633712E-9,0.10894978277940397
9.382716049382682E-9,0.10884434173604544
9.465020576131653E-9,0.10873795394973529
9.547325102880624E-9,0.10863061896968729
9.629629629629595E-9,0.10852233634155554
9.711934156378566E-9,0.10841310560804704
9.794238683127537E-9,0.10830292630842175
9.876543209876508E-9,0.1081917979788293
9.958847736625477E-9,0.1080797201523207
1.0041152263374449E-8,0.10796669235869333
1.012345679012342E-8,0.1078527141245687
1.020576131687239E-8,0.10773778497353517
1.0288065843621362E-8,0.10762190442599529
1.0370370370370333E-8,0.10750507199933437
1.0452674897119304E-8,0.10738728720791528
1.0534979423868273E-8,0.10726854956293505
1.0617283950617244E-8,0.10714885857244445
1.0699588477366215E-8,0.10702821374181831
1.0781893004115186E-8,0.10690661457324442
