% Model,DengLinear.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 9 2020, 21:15"
% Dimension,1
% Nodes,503
% Expressions,1
% Description,
% x,PR/(EhSi*Omega11*j0*RO)*(3*D*(1-nuSi)) @ t=0.032
0,0.04862626984442674
8.230452674897117E-11,0.11699321907459034
1.6460905349794234E-10,0.11699188222311452
2.469135802469135E-10,0.11698958452854732
3.2921810699588467E-10,0.116986365232705
4.1152263374485583E-10,0.11698222546502343
4.93827160493827E-10,0.11697716546775613
5.761316872427982E-10,0.11697118530440222
6.584362139917693E-10,0.11696428498294288
7.407407407407404E-10,0.11695646448820318
8.230452674897116E-10,0.11694772379265586
9.053497942386826E-10,0.11693806286058536
9.876543209876537E-10,0.11692748165003158
1.069958847736625E-9,0.11691598011359855
1.152263374485596E-9,0.11690355819897745
1.234567901234567E-9,0.11689021584917346
1.316872427983538E-9,0.11687595300267509
1.3991769547325091E-9,0.11686076959352762
1.4814814814814804E-9,0.11684466555138084
1.5637860082304514E-9,0.11682764080158611
1.6460905349794225E-9,0.11680969526511559
1.7283950617283935E-9,0.11679082885867387
1.8106995884773648E-9,0.11677104149467285
1.893004115226336E-9,0.11675033308127339
1.975308641975307E-9,0.1167287035223239
2.057613168724278E-9,0.11670615271746343
2.139917695473249E-9,0.11668268056205508
2.22222222222222E-9,0.11665828694721758
2.304526748971191E-9,0.11663297175985146
2.3868312757201626E-9,0.1166067348825686
2.4691358024691336E-9,0.11657957619382212
2.5514403292181043E-9,0.11655149556777615
2.6337448559670753E-9,0.1165224928744593
2.716049382716046E-9,0.116492567979615
2.7983539094650166E-9,0.11646172074476421
2.8806584362139877E-9,0.11642995102733522
2.9629629629629583E-9,0.11639725868043047
3.0452674897119293E-9,0.11636364355305343
3.1275720164609E-9,0.11632910548997856
3.209876543209871E-9,0.1162936443318836
3.2921810699588417E-9,0.11625725991511714
3.3744855967078127E-9,0.11621995207205622
3.4567901234567834E-9,0.1161817206307367
3.539094650205754E-9,0.11614256541518123
3.621399176954725E-9,0.11610248624520927
3.7037037037036957E-9,0.11606148293647411
3.786008230452667E-9,0.11601955530060065
3.868312757201638E-9,0.11597670314494093
3.950617283950608E-9,0.11593292627280914
4.032921810699579E-9,0.11588822448349434
4.11522633744855E-9,0.1158425975720574
4.19753086419752E-9,0.11579604532944014
4.279835390946491E-9,0.11574856754269379
4.3621399176954625E-9,0.11570016399461158
4.4444444444444335E-9,0.1156508344640077
4.526748971193404E-9,0.11560057872557232
4.609053497942375E-9,0.11554939654999694
4.691358024691346E-9,0.11549728770390827
4.773662551440316E-9,0.11544425194993063
4.855967078189287E-9,0.11539028904661189
4.938271604938258E-9,0.11533539874860319
5.020576131687229E-9,0.11527958080626596
5.1028806584361994E-9,0.11522283496630761
5.1851851851851705E-9,0.11516516097126356
5.2674897119341415E-9,0.11510655855969326
5.349794238683113E-9,0.11504702746628948
5.432098765432083E-9,0.11498656742171727
5.514403292181054E-9,0.11492517815262464
5.596707818930025E-9,0.11486285938189084
5.679012345678995E-9,0.1147996108283562
5.761316872427966E-9,0.11473543220695387
5.843621399176937E-9,0.11467032322875917
5.925925925925908E-9,0.11460428360096923
6.0082304526748785E-9,0.11453731302675374
6.09053497942385E-9,0.11446941120566681
6.172839506172821E-9,0.11440057783316909
6.255144032921791E-9,0.11433081260089362
6.337448559670762E-9,0.11426011519690671
6.419753086419733E-9,0.11418848530509834
6.502057613168704E-9,0.11411592260577534
6.584362139917674E-9,0.11404242677531015
6.666666666666645E-9,0.11396799748639833
6.748971193415616E-9,0.1138926344079363
6.8312757201645866E-9,0.11381633720502332
6.913580246913558E-9,0.1137391055390263
6.995884773662529E-9,0.11366093906774685
7.0781893004115E-9,0.1135818374448018
7.16049382716047E-9,0.11350180032059776
7.242798353909441E-9,0.113420827341669
7.325102880658412E-9,0.11333891815074058
7.407407407407383E-9,0.11325607238698504
7.489711934156354E-9,0.11317228968595608
7.572016460905324E-9,0.11308756967948869
7.654320987654295E-9,0.11300191199592136
7.736625514403266E-9,0.11291531625982112
7.818930041152237E-9,0.11282778209228364
7.901234567901208E-9,0.1127393091108187
7.983539094650179E-9,0.11264989692914835
8.06584362139915E-9,0.11255954515764573
8.148148148148121E-9,0.11246825340303551
8.23045267489709E-9,0.11237602126875523
8.312757201646061E-9,0.11228284835446867
8.395061728395032E-9,0.11218873425652168
8.477366255144003E-9,0.1120936785677132
8.559670781892975E-9,0.1119976808772638
8.641975308641946E-9,0.11190074077116494
8.724279835390917E-9,0.11180285783170557
8.806584362139886E-9,0.11170403163812603
8.888888888888857E-9,0.11160426176604035
8.971193415637828E-9,0.11150354778755552
9.0534979423868E-9,0.11140188927151766
9.13580246913577E-9,0.11129928578387724
9.218106995884741E-9,0.1111957368863967
9.300411522633712E-9,0.11109124213822748
9.382716049382682E-9,0.11098580109488654
